[4811.9472, 'N', 300.9012, 'W', 150815.0]
[4811.9472, 'N', 300.9012, 'W', 150816.0]
[4811.9473, 'N', 300.9011, 'W', 150817.0]
[4811.9475, 'N', 300.9005, 'W', 150818.0]
[4811.948, 'N', 300.8998, 'W', 150819.0]
[4811.9487, 'N', 300.8996, 'W', 150820.0]
[4811.9494, 'N', 300.9, 'W', 150821.0]
[4811.95, 'N', 300.9007, 'W', 150822.0]
[4811.9504, 'N', 300.9016, 'W', 150823.0]
[4811.9508, 'N', 300.9026, 'W', 150824.0]
[4811.9512, 'N', 300.9035, 'W', 150825.0]
[4811.9516, 'N', 300.9045, 'W', 150826.0]
[4811.9519, 'N', 300.9054, 'W', 150827.0]
[4811.9522, 'N', 300.9064, 'W', 150828.0]
[4811.9526, 'N', 300.9073, 'W', 150829.0]
[4811.953, 'N', 300.9083, 'W', 150830.0]
[4811.9533, 'N', 300.9092, 'W', 150831.0]
[4811.9537, 'N', 300.9101, 'W', 150832.0]
[4811.9541, 'N', 300.911, 'W', 150833.0]
[4811.9545, 'N', 300.9119, 'W', 150834.0]
[4811.9549, 'N', 300.9128, 'W', 150835.0]
[4811.9554, 'N', 300.9137, 'W', 150836.0]
[4811.9558, 'N', 300.9146, 'W', 150837.0]
[4811.9562, 'N', 300.9154, 'W', 150838.0]
[4811.9567, 'N', 300.9163, 'W', 150839.0]
[4811.9571, 'N', 300.9172, 'W', 150840.0]
[4811.9576, 'N', 300.918, 'W', 150841.0]
[4811.9581, 'N', 300.9187, 'W', 150842.0]
[4811.9586, 'N', 300.9195, 'W', 150843.0]
[4811.9591, 'N', 300.9202, 'W', 150844.0]
[4811.9596, 'N', 300.921, 'W', 150845.0]
[4811.9601, 'N', 300.9218, 'W', 150846.0]
[4811.9606, 'N', 300.9225, 'W', 150847.0]
[4811.9611, 'N', 300.9232, 'W', 150848.0]
[4811.9616, 'N', 300.9239, 'W', 150849.0]
[4811.9621, 'N', 300.9246, 'W', 150850.0]
